,date,text
29,27-07-2022,"Apple, https://t.co/nKz8Jj1bE1, Mastercard Earnings: 3 Things to Watch By https://t.co/xtNO4mf54t - https://t.co/xtNO4mf54t https://t.co/q11TZtfphz"
57,27-07-2022,"I’ve been telling everyone around me, buy $AAPL stock….because once they drop a vehicle I don’t care about recession talk, people are going to buy/lease what they can’t afford just so they can say “I got it first” 🤣😂"
31,27-07-2022,"Dow jumps 475 points, Nasdaq jumps 4% as Powell says Fed could slow pace of rate hikes  https://t.co/tn0gHtf3sf"
32,27-07-2022,"#Qualcomm $QCOM Has An Excellent #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing https://t.co/Jj64hrpqst https://t.co/oqHkZ8jNDt"
33,27-07-2022,"ALERT Toronto Stock Exchange
First Majestic Silver Corp Common 
$FR.TO 9.13 
up +6.04%  
15:50 
https://t.co/19G0c2JfYs"
34,27-07-2022,"RT @juanmiguelworld: #APPLE STOCK JUMP ON ELECTRIC CAR RUMOR IN SEP...

$AAPL"
36,27-07-2022,#CrudeOil September #Futures #CL_F ⬆2.7% to $98.12 #oilprice #OilPriceWar #oilandgas #OPEC #opecmeeting #futurestrading #future #Investment #invest #investor #investors #investing #trading #stocks #stock #StockMarket #market https://t.co/wdPhiyfr3i https://t.co/UEPGeu90ur
37,27-07-2022,"2022-07-27 4:00 PM
$AAPL #Apple up 3.42% = $83.92 billion gain.

https://t.co/K1ofe0g496
(Jul 27) AAPL Stock: Apple Earnings For Fiscal Third Quarter 2022 | Investor's Business Daily https://t.co/7UF5XFVluA"
38,27-07-2022,"S&amp;P 500 E-mini #Futures #ES_F ⬆81.25 Points (2.06%) to 4,020.5 #SP500 $SPX $SPY #futurestrading #future #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #market https://t.co/wdPhiyfr3i https://t.co/sMWwiiZKsD https://t.co/E1AEjtN77h"
39,27-07-2022,"#NASDAQ E-mini #Futures #NQ_F ⬆384 Points (3.15%) to 12,580.25 #futurestrading #future #NASDAQ100 #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #market https://t.co/wdPhiyfr3i https://t.co/sMWwiiZKsD https://t.co/iOYFS7Ozoy"
40,27-07-2022,"RT @MITickWatcher: Wednesday's Top Flow in #technology sector, Buy Flow &amp; Sell Flow $NVDA $GOOGL $PAYX $GOOG $LRCX $AMAT $MSI $ORCL $TDC $E…"
41,27-07-2022,"Wednesday's Top Flow in #technology sector, Buy Flow &amp; Sell Flow $NVDA $GOOGL $PAYX $GOOG $LRCX $AMAT $MSI $ORCL $TDC $EBAY $AAPL $V $CSCO $INTC $QCOM $VZ $MSFT $IBM $MA $MCHP #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/nJLZFvMrxQ"
42,27-07-2022,"""A rising tide lifts all boats."" $QQQ
$msft $goog $amzn $tsla $aapl $meta https://t.co/EZQmUDfNYm"
30,27-07-2022,$AMD Has A Weak #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Weak; moving average score Neutral; #momentum score Neutral #stocks #stock #StockMarket #Investment #investing https://t.co/B7BWRcVOEf https://t.co/3j4kq2bZGh
14,27-07-2022,"RT @bs_marker: Stock: $AAPL - Apple Inc.
*** NEWS ***
Apple signs Lamborghini exec to accelerate EV efforts - Bloomberg (NASDAQ:AAPL) - See…"
43,27-07-2022,"Wednesday's Top Flow in #consumer staples sector, Buy Flow &amp; Sell Flow $HSY $GIS $MNST $STZ $BF.B $BEAM $CAG $SJM $CPB $TSN $WMT $SYY $COST $MDLZ $PG $KO $PEP $MO $ADM $CVS #stock #stocks #StockMarket #Investment #investing #consumers https://t.co/Gr3YvQQ4OY https://t.co/aN1yYTXkQv"
46,27-07-2022,#silver September #Futures #SI_F ⬆2.81% to $19.04 #silverprice #goldprice #futurestrading #preciousmetals #Metal #future #Investment #investing #trading #invest #investor #investors #stocks #stock #StockMarket #market https://t.co/wdPhiyfr3i https://t.co/XHC2bU7XYh
47,27-07-2022,"#Earnings Tomorrow-P9
$UTMD $WMMVY $YVR 
Free stocks app https://t.co/S59zN18Con"
48,27-07-2022,"#Earnings Tomorrow-P1
$AAPL $AETUF $AIRC $AJG $ALEX $AMSF $AMZN $APPF $ATR $AUY $AVTR $AXTI $BIO $BSMX $BWMX $BY $BZH $CBTX $CC $CE $CLFD $CLR $COHU $CPT $CTO $CUZ $CVRX $CWST $DAIO $DECK $DLR $DPMLF $DRQ $DXCM $EB $EBC $EGO 
Free stocks app https://t.co/S59zN18Con"
49,27-07-2022,"Wednesday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $SE $KMI $HAL $EOG $RIG $HES $WMB $NBR $SWN $EQT $XOM $PXD $VLO $MPC $CVX $OXY $COP $SLB $PSX $DVN #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/Gr3YvQQ4OY https://t.co/seSshOW3Kv"
50,27-07-2022,"Wednesday's Top Flow in S&amp;P 500 #SP500, Buy Flow &amp; Sell Flow $TSLA $NVDA $HON $BKNE $GOOGL $FTNT $PAYX $SHW $GOOG $DIS $AAPL $CMCSA $KEY $BA $NEM $V $TROW $GILD $META $HUM #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/iKYeN3ZTLC"
51,27-07-2022,"@angelogiomateo @dunbar151 @naxuu No, I don’t attribute major shifts in the overall economy to Apple changing its privacy policy. But for a company like Meta/Facebook, Apple’s change has led to a real, measurable revenue drop that has affected stock price and probably pace of hiring."
117,27-07-2022,RT @OptionsProVol: $AMD Has A Weak #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Weak; moving average scor…
53,27-07-2022,"RT @joehick58: Dow jumps 200 points, Nasdaq jumps nearly 3% as Powell says Fed could slow pace of rate hikes @CNBC https://t.co/HPmXL92z9q"
54,27-07-2022,"RT @networkchain: A lot of macro economic news coming out tomorrow, we will find out if we are in a recession, defined as 2 negative quarte…"
55,27-07-2022,Im expecting apple earnings to bring the stock down
56,27-07-2022,"Wednesday's Top Flow in #industrial sector, Buy Flow &amp; Sell Flow $HON $CMI $GD $RSG $TXT $PWR $DAL $DHR $DOV $ITW $BA $UNP $ROK $GWW $PNR $PH $NOC $CAT $CHRW $DE #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/RahZ6uWc5J"
44,27-07-2022,"Troubles are mounting for @Meta - soft ad budgets, competition from TikTok, ongoing trouble from the @Apple iOS privacy changes. The company is forecasting a sharp year-over-year revenue decline for the September quarter. https://t.co/q24GKK5eZe"
45,27-07-2022,RT @1finekitty: Pelosi's husband dumps Nvidia stock as House eyes chip bill - Reuters https://t.co/bapMnWY1r6
58,27-07-2022,@Younggee Thanks. I get tons of compliments. U gotta go inside the Apple store and MAYBE they have some in stock. It was never available online when I got it last year.
52,27-07-2022,"Wednesday's Top Flow in #StockMarket, Buy Flow &amp; Sell Flow $SPY $TSLA $FXI $NVDA $HYG $ARKK $MRVL $HON $ASML $BKNG $QQQ $MUB $AAPL $LQD $IWM $CMCSA $KEY $ITOT $BA $SNAP #stock #stocks #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/XDBpFT8HmM"
60,27-07-2022,"ALERT Toronto Stock Exchange
Ivanhoe Mines Ltd 
$IVN.TO 7.51 
up +8.84%  
15:59 
https://t.co/19G0c2JfYs"
62,27-07-2022,"ALERT Toronto Stock Exchange
Interfor Corp 
$IFP.TO 31.64 
up +11.33%  
16:00 
https://t.co/19G0c2JfYs"
63,27-07-2022,"ALERT Toronto Stock Exchange
Hut 8 Mining Corp 
$HUT.TO 2.56 
up +13.27%  
16:00 
https://t.co/19G0c2JfYs"
64,27-07-2022,"RT @OptionsProVol: $BABA #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #sto…"
65,27-07-2022,Dow jumps more than 400 points as Powell says Fed could slow pace of rate hikes ⁦ https://t.co/6Ze6gyu5pk
66,27-07-2022,Pelosi's husband dumps Nvidia stock as House eyes chip bill - Reuters https://t.co/bapMnWY1r6
88,27-07-2022,"Apple and AirPods are back and are on sale again, not in stock again https://t.co/ovyPKOnae5"
68,27-07-2022,The Market is insane !!!   #hedgefunds #stockmarket #cboe #options #stock #investments #money https://t.co/dmNp7XspfD
69,27-07-2022,$AAPL the timing is impecable!  (a day before earnings) It just tells me “Tim Apple” won’t be able to issue another amazing quarter.  The stock is coming in HOT IN TO EARNINGS.  However an Apple/Lambo baby could make all the difference.  https://t.co/mfQPLuaNKq
70,27-07-2022,"Apple Inc. stock rises Wednesday, still underperforms market https://t.co/EMLeo99hzK"
71,27-07-2022,"#DowJones Surges; #Powell Gives This Signal Amid Big #FederalReserve Rate Hike; #Google Earnings Boosts These #Stocks. $GOOGL $MSFT $AAPL $META

https://t.co/tazohLFFjM"
72,27-07-2022,"RT @wallace_hc: Senate approves $280 billion bill to boost U.S. science, chip production - The Wall Street Journal. While Intel is able to…"
73,27-07-2022,Spotify stock shoots toward best day since 2020 as CEO says ‘it’s hard to be anything but optimistic’ - MarketWatch ⁦@Spotify⁩  https://t.co/PScuu27uiN
61,27-07-2022,"ALERT Toronto Stock Exchange
Iamgold Corp 
$IMG.TO 1.86 
up +5.68%  
16:00 
https://t.co/19G0c2JfYs"
67,27-07-2022,RT @mojmir_hlinka: Dow jumps 550 points as Powell says Fed could slow pace of rate hikes @CNBC https://t.co/A2cs0balyl
76,27-07-2022,"Apple Inc. stock rises Wednesday, still underperforms market - MarketWatch https://t.co/n3wZTsIZEl https://t.co/QRdcX8nEXr"
77,27-07-2022,"Take a deep breath… relax

That was one hurdle that needed to be cleared for bulls 🐂 #FOMC 

We still have GDP coming out tomorrow and major earnings as well $aapl $amzn"
78,27-07-2022,"Apple, https://t.co/45tvacxFXs, Mastercard Earnings: 3 Things to Watch - https://t.co/AzlTakAmJR"
79,27-07-2022,"$LFLY #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/I8hjTlnne3 https://t.co/yPBjdhXsKv"
80,27-07-2022,"RT @InvestingStockz: Apple, https://t.co/45tvacxFXs, Mastercard Earnings: 3 Things to Watch - https://t.co/AzlTakAmJR"
81,27-07-2022,"@apple, I'll drop. my bad attitude, Ive dropped all my money, I have like a dollar, I can even buy twitter stock, I need a job! https://t.co/LB9YiUz3ur"
82,27-07-2022,"3/ Tomorrow, two other players of the MAMAA tech giants - Apple &amp; Amazon will announce their Q2 earnings, also US GDP report will be released ⏰

Another wave is on the way, stirring the waters in the #stock and #crypto market ... 🌊

$AAPL $AMZN https://t.co/EwW7i3Ix1T"
74,27-07-2022,$AAPL #Options OI chart. Free stock apps https://t.co/7Rm8mjs1IV https://t.co/udiOAgMerZ
83,27-07-2022,Dow jumps more than 400 points as Powell says Fed could slow pace of rate hikes @CNBC https://t.co/cCY1iZKxiC
84,27-07-2022,"$QCOM, $WMT, $T, $VZ, $TGT, $BBY $STX all said the consumer is stressed and spending on consumer electronics - including smartphones- is a bit difficult. That doesn't bode well for $AAPL. Is it in the stock? I have no position."
85,27-07-2022,"RT @InvestingStockz: Apple, https://t.co/45tvacxFXs, Mastercard Earnings: 3 Things to Watch - https://t.co/AzlTakAmJR"
86,27-07-2022,NEW POST:  Stock Market Recap 07/27/22 {Video} https://t.co/nwuRdTlhf0 $AAPL $AMZN $META $QQQ $USO
75,27-07-2022,Wow. @Apple stock today? Nice moves.
116,27-07-2022,"$AAPL ⚠️ Tomorrow ⚠️

Recap:

Stock slid 8% on Thursday

Apple Lost $180 Billion In Market Value on Thursday. It’s the Biggest Loss For Any Company Ever. https://t.co/ZHBdrxl6X5 $spy $meta $qqq $amd $nvda"
87,27-07-2022,$AMD Has A Weak #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Weak; moving average score Neutral; #momentum score Neutral #stocks #stock #StockMarket #Investment #investing https://t.co/I8hjTlEqg3 https://t.co/AhbU0cC9Xj
89,27-07-2022,One thing about apple they will talk about that car right before the stock falls
91,27-07-2022,"@MissezOfficer26 @ItMeansCovfefe @citsecurities Yeah imagine the amount of buying pressure you’d see in a stock like aapl occurring in a small cap illiquid stock like amc , of course some aren’t going to be delivered because people are trying to buy more shares than exist (fake shares)"
92,27-07-2022,"RT @realalexvieira: Breaking. Alex Vieira Sells $3 Billion in Stock in Honor of Powell's ""No Recession, the Worst is Over."" $TSLA $QQQ $SPY…"
93,27-07-2022,"Senate approves $280 billion bill to boost U.S. science, chip production - The Wall Street Journal. While Intel is able to receive financial help under this plan they have 10 $Billion in stock buy backs on their books now. https://t.co/aDUm6HNNwT"
94,27-07-2022,@decquan I just got some apple stock when I was vacation it’s like 152 or something like that
59,27-07-2022,"#Apple $AAPL Last 6 months Daily #StockMovement Histogram #Chart
Max downward movement was -5.64%
Max upward movement was 6.98%
Stock majorly moved between -2.51% and 2.29%
Start #investing in #GlobalStocks at https://t.co/peLniHQjpl 
#Investor https://t.co/im5H3knh2g"
96,27-07-2022,"RT @MrD25138216: Huh. Suggest we publish Paul’s purchases in a stock watch list. 
Sell subscriptions.
Make lots of $ by selling the list &amp;…"
97,27-07-2022,"@Google Stock Rises As Search Advertising In Q2 Remains Strong

https://t.co/Gjy3jlhOIL

#google #alphabet #googlestock #youtube #googlesearch #googl $googl #digitaladvertising #digitalads #earnings #q2 #stockperformance #sergeybrin #larrypage #snap #snapchat #apple #appl #cloud"
98,27-07-2022,"RT @TickwatcherMF: $BBD #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stoc…"
99,27-07-2022,Fed Hikes Rates Another 75 bps. Treasury Yields Fall. Inflation Remains Stubbornly High … AND the Stock Markets Respond With a Big Bang Upward!!  @CNBC #Fed #ratehikes #yields #Treasurys #stocks #markets #inflation #recession #investing #trading  https://t.co/0XOwgFqZdB
100,27-07-2022,Mega cap stock and option trading model subscriptions available at Profectus Systems $MSFT $AMZN $GOOGL $AAPL $FB $XOM $JNJ $BABA $GE $T
101,27-07-2022,"RT @OptionsProVol: $NCLH #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #sto…"
102,27-07-2022,"I Wear These Loafers Everyday, They're Finally In Stock &amp; On Sale - STYLECASTER https://t.co/L9mJ5gsMCw"
95,27-07-2022,"RT @OptionsProVol: $COIN #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #sto…"
103,27-07-2022,"$APLE Apple Hospitality REIT Successfully Upsizes and Extends Primary Unsecured Credit Facility, Enhancing Balance Sheet Strength and Flexibility
https://t.co/dp25omV5Ro

#apple"
105,27-07-2022,"Breaking. Alex Vieira Sells $3 Billion in Stock in Honor of Powell's ""No Recession, the Worst is Over."" $TSLA $QQQ $SPY #investing #crypto #ukraine #usa $PINS $META $SNAP $AAPL $GOOGL $SPOT $NVDA $MSFT $PYPL $AMD $CMG #earnings $UBER https://t.co/KuZSOX8eVP"
106,27-07-2022,"RT @TickwatcherMF: $CLF #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stoc…"
107,27-07-2022,I am betting Apple may not have a good earnings.. The stock should crash tom and on Friday and next week.. I may loose 1500 USD on my bet.. but if i win Which is expected to be 10-25 K all will go in AMC
108,27-07-2022,"Top #moneyflow for #sp500 today
$AAPL $CMCSA $KEY $BA $NEM $CSCO $GILD $HUM $XOM $QCOM ...
https://t.co/S59zN18Con"
109,27-07-2022,"Top #moneyflow for #nasdaq today
$AAPL $CMCSA $CSCO $GILD $QCOM $COST $NFLX $INTC $MSFT $MCHP ...
https://t.co/S59zN18Con"
110,27-07-2022,"Top #moneyflow for whole #market today
$SPY $QQQ $MUB $LQD $AAPL $EEM $IWM $CMCSA $KEY $ITOT ...
https://t.co/S59zN18Con"
111,27-07-2022,"Dow jumps 400 points, Nasdaq jumps nearly 3% as Powell says Fed could slow pace of rate hikes @CNBC https://t.co/3qgB1HULGl"
112,27-07-2022,RT @amtvmedia: Dow jumps 550 points as Powell says Fed could slow pace of rate hikes @CNBC  https://t.co/OMHYPIH77d
113,27-07-2022,"Top Decliners (&gt;$5)
$NBLRF $STEK $TPB $PYPS $BERZ $WEBS $FNGD $TENB $SOXS $SAVA $HIBS $RDBX $TECS $BNOX $FLYD $SQQQ $STBL $XELAP $TOP $IMRX $SSG $MLYBY $TZOO $REW $ZWS $SGMA $SHW $GYRO $NVDS $BITI
https://t.co/S59zN18Con"
114,27-07-2022,"Most mentioned tickers on Twitter (Last Hour):

1. $TSLA
2. $AAPL
3. $META
4. $PYPL
5. $MSFT"
115,27-07-2022,"Most mentioned tickers on WallStreetBets (Last Hour):

1. $META
2. $IS
3. $AAPL
4. $F
5. $WE"
90,27-07-2022,RT @1finekitty: Pelosi's husband dumps Nvidia stock as House eyes chip bill - Reuters https://t.co/bapMnWY1r6
104,27-07-2022,@carlquintanilla @JohnSpall247 just some minor noise to pump #Apple stock before earnings. $AAPL is extremely expensive compared to the broader #StockMarket
124,27-07-2022,"ALERT Toronto Stock Exchange
Cenovus Energy Inc 
$CVE.TO 23.75 
up +5.27%  
15:50 
https://t.co/19G0c2JfYs"
35,27-07-2022,"#gold August #Futures #GC_F ⬆0.99% to $1,732.4 #goldprice #silverprice #futurestrading #preciousmetals #Metal #future #Investment #investing #trading #invest #investor #investors #stocks #stock #StockMarket #market https://t.co/wdPhiyfr3i https://t.co/yzWIsrKjt3"
193,27-07-2022,Pelosi's husband dumps Nvidia stock as House eyes chip bill  https://t.co/oB1xJotboB
121,27-07-2022,"ALERT Toronto Stock Exchange
Endeavour Silver Corp 
$EDR.TO 4.32 
up +5.88%  
15:50 
https://t.co/19G0c2JfYs"
122,27-07-2022,"ALERT Toronto Stock Exchange
Denison Mines Corp 
$DML.TO 1.545 
up +7.29%  
15:50 
https://t.co/19G0c2JfYs"
123,27-07-2022,"ALERT Toronto Stock Exchange
Docebo Inc 
$DCBO.TO 39.27 
up +5.74%  
15:50 
https://t.co/19G0c2JfYs"
125,27-07-2022,"ALERT Toronto Stock Exchange
Capstone Mining Corp 
$CS.TO 2.635 
up +7.99%  
15:50 
https://t.co/19G0c2JfYs"
126,27-07-2022,"ALERT Toronto Stock Exchange
Cameco Corp 
$CCO.TO 32.3 
up +8.39%  
15:41 
https://t.co/19G0c2JfYs"
127,27-07-2022,"ALERT Toronto Stock Exchange
Baytex Energy Corp 
$BTE.TO 6.785 
up +5.52%  
15:41 
https://t.co/19G0c2JfYs"
128,27-07-2022,"ALERT Toronto Stock Exchange
Ballard Power Systems Inc 
$BLDP.TO 9.07 
up +6.58%  
15:49 
https://t.co/19G0c2JfYs"
129,27-07-2022,"Earnings happening tomorrow
2022-07-28: 
$AAPL
$AMZN
$MA
$PFE
$MRK"
130,27-07-2022,"#American Airlines $AAL Has A Good #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/9AFz1sZ3fh"
131,27-07-2022,"#APPLE STOCK JUMP ON ELECTRIC CAR RUMOR IN SEP...

$AAPL"
132,27-07-2022,Closed my position in $AAPL. I’m all out. Hope to be back in again! 🍎 #stock #receipts🧾 https://t.co/AuFf0diXRn
176,27-07-2022,"#Shopify $SHOP Has A Poor #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/OsNf8KwICd"
120,27-07-2022,"$AMD company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/IWZSYMAia0 https://t.co/CKQvDndFjr"
133,27-07-2022,RT @DrewDBrandt: Nancy Pelosi And Husband Sell NVIDIA Corp Stock After Public Pressure: Here's How Much She Lost And What's Next $NVDA $AAP…
136,27-07-2022,"$AMZN company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/Jj64hrpqst https://t.co/raTzWczBKV"
137,27-07-2022,"$NCLH #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/I8hjTlEqg3 https://t.co/W06wsemQXx"
138,27-07-2022,"$CCL company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/Jj64hrpqst https://t.co/MsWEGek0Nv"
139,27-07-2022,"$BBD #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/B7BWRcVOEf https://t.co/B4Kx0PoJHf"
140,27-07-2022,"$AAPL company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/Gr3YvQQ4OY https://t.co/evGhCzD1pd"
141,27-07-2022,RT @TickwatcherMF: $AMD Has A Weak #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Weak; moving average scor…
142,27-07-2022,"RT @OptionsProVol: $COIN #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #sto…"
118,27-07-2022,"ALERT Toronto Stock Exchange
Hudbay Minerals Inc 
$HBM.TO 4.465 
up +5.56%  
15:51 
https://t.co/19G0c2JfYs"
144,27-07-2022,"$BABA #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/I8hjTlEqg3 https://t.co/0k2uBX8t5p"
145,27-07-2022,"$PBR #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/B7BWRcVOEf https://t.co/rueY8NVTUl"
146,27-07-2022,"Todays top 5 most controversial stock tickers, mention count, and sentiment according to WSB:
$MSFT: 43, 7.27% Bullish
$AAPL: 40, -8.26% Bearish
$TSLA: 39, -6.80% Bearish
$GME: 35, -6.59% Bearish
$GOOG: 30, 6.09% Bullish

Gathered from 16431 comments"
